condition,scenario,trials,asr,median_detection_turn,fpr,mean_turn_ms
A,N1,100,,,0.0000,0.0321
A,N10,100,,,0.0000,0.0385
A,N11,100,,,0.0000,0.0296
A,N12,100,,,0.0000,0.0403
A,N13,100,,,0.0000,0.0315
A,N14,100,,,0.0000,0.03
A,N15,100,,,0.0000,0.0422
A,N16,100,,,0.0000,0.0389
A,N17,100,,,0.0000,0.0304
A,N18,100,,,0.0000,0.0406
A,N19,100,,,0.0000,0.0324
A,N2,100,,,0.0000,0.0307
A,N20,100,,,0.0000,0.0319
A,N21,100,,,0.0000,0.0425
A,N22,100,,,0.0000,0.0387
A,N23,100,,,0.0000,0.0299
A,N24,100,,,0.0000,0.0451
A,N25,100,,,0.0000,0.0321
A,N26,100,,,0.0000,0.0307
A,N27,100,,,0.0000,0.044
A,N28,100,,,0.0000,0.039
A,N29,100,,,0.0000,0.0308
A,N3,100,,,0.0000,0.0422
A,N30,100,,,0.0000,0.0413
A,N4,100,,,0.0000,0.0392
A,N5,100,,,0.0000,0.03
A,N6,100,,,0.0000,0.0402
A,N7,100,,,0.0000,0.0327
A,N8,100,,,0.0000,0.0305
A,N9,100,,,0.0000,0.0415
A,NE1,100,,,0.0000,0.0316
A,NE10,100,,,0.0000,0.0323
A,NE2,100,,,0.0000,0.0322
A,NE3,100,,,0.0000,0.0305
A,NE4,100,,,0.0000,0.0292
A,NE5,100,,,0.0000,0.0305
A,NE6,100,,,0.0000,0.0323
A,NE7,100,,,0.0000,0.0317
A,NE8,100,,,0.0000,0.0298
A,NE9,100,,,0.0000,0.0312
A,S1,100,1.0000,,,0.0352
A,S2,100,1.0000,,,0.0428
A,S3,100,1.0000,,,0.0471
A,S4,100,1.0000,,,0.0433
A,S5,100,1.0000,,,0.0494
B,N1,100,,,0.0000,0.0323
B,N10,100,,,0.0000,0.0391
B,N11,100,,9.0,1.0000,0.0267
B,N12,100,,9.0,1.0000,0.038
B,N13,100,,,0.0000,0.0325
B,N14,100,,,0.0000,0.0311
