condition,attack_trials,normal_trials,asr,attack_detection_rate,median_attack_detection_turn,fpr,median_false_positive_turn,mean_turn_ms
A,500,0,1.0000,0.0000,,,,0.0435
B,500,0,0.8000,0.2000,2.0,,,0.0403
C1,500,0,0.4000,0.6000,5.0,,,0.0996
C2,500,0,0.4000,0.8000,3.0,,,0.0419
C3,500,0,0.2000,0.8000,3.0,,,0.0392
C4,500,0,0.2000,0.8000,3.0,,,0.0368
D,500,0,1.0000,0.0000,,,,0.0444
