condition,scenario,trials,asr,median_detection_turn,fpr,mean_turn_ms
A,N1,100,,,0.0000,0.0565
A,N10,100,,,0.0000,0.0672
A,N11,100,,,0.0000,0.0531
A,N12,100,,,0.0000,0.0704
A,N13,100,,,0.0000,0.0544
A,N14,100,,,0.0000,0.0517
A,N15,100,,,0.0000,0.0768
A,N16,100,,,0.0000,0.0651
A,N17,100,,,0.0000,0.0525
A,N18,100,,,0.0000,0.0697
A,N19,100,,,0.0000,0.054
A,N2,100,,,0.0000,0.0553
A,N20,100,,,0.0000,0.0522
A,N21,100,,,0.0000,0.0777
A,N22,100,,,0.0000,0.0664
A,N23,100,,,0.0000,0.0545
A,N24,100,,,0.0000,0.0703
A,N25,100,,,0.0000,0.0547
A,N26,100,,,0.0000,0.054
A,N27,100,,,0.0000,0.0794
A,N28,100,,,0.0000,0.0662
A,N29,100,,,0.0000,0.0534
A,N3,100,,,0.0000,0.0837
A,N30,100,,,0.0000,0.0718
A,N4,100,,,0.0000,0.0682
A,N5,100,,,0.0000,0.0524
A,N6,100,,,0.0000,0.0715
A,N7,100,,,0.0000,0.0557
A,N8,100,,,0.0000,0.0541
A,N9,100,,,0.0000,0.0787
A,S1,100,1.0000,,,0.0645
A,S2,100,1.0000,,,0.0785
A,S3,100,1.0000,,,0.0805
A,S4,100,1.0000,,,0.0784
B,N1,100,,,0.0000,0.0583
B,N10,100,,,0.0000,0.0689
B,N11,100,,9.0,1.0000,0.0483
B,N12,100,,9.0,1.0000,0.0658
B,N13,100,,,0.0000,0.0561
B,N14,100,,,0.0000,0.0528
B,N15,100,,,0.0000,0.0757
B,N16,100,,,0.0000,0.067
B,N17,100,,9.0,1.0000,0.0459
B,N18,100,,9.0,1.0000,0.0636
B,N19,100,,,0.0000,0.0558
B,N2,100,,,0.0000,0.0551
B,N20,100,,,0.0000,0.0528
B,N21,100,,,0.0000,0.0786
B,N22,100,,,0.0000,0.0669
B,N23,100,,9.0,1.0000,0.0468
B,N24,100,,9.0,1.0000,0.0678
B,N25,100,,,0.0000,0.0566
B,N26,100,,,0.0000,0.0554
B,N27,100,,,0.0000,0.0791
B,N28,100,,,0.0000,0.0708
B,N29,100,,9.0,1.0000,0.0492
B,N3,100,,,0.0000,0.0803
B,N30,100,,9.0,1.0000,0.0666
B,N4,100,,,0.0000,0.0683
B,N5,100,,9.0,1.0000,0.05
B,N6,100,,9.0,1.0000,0.0692
B,N7,100,,,0.0000,0.0576
B,N8,100,,,0.0000,0.0555
B,N9,100,,,0.0000,0.0809
B,S1,100,0.0000,2.0,,0.0332
B,S2,100,1.0000,,,0.075
B,S3,100,1.0000,,,0.0793
B,S4,100,1.0000,,,0.0777
C1,N1,100,,,0.0000,0.1397
C1,N10,100,,,0.0000,0.1583
C1,N11,100,,,0.0000,0.1368
C1,N12,100,,,0.0000,0.1588
C1,N13,100,,,0.0000,0.1359
C1,N14,100,,,0.0000,0.1333
C1,N15,100,,,0.0000,0.1636
C1,N16,100,,,0.0000,0.149
C1,N17,100,,,0.0000,0.131
C1,N18,100,,,0.0000,0.1533
C1,N19,100,,,0.0000,0.1371
C1,N2,100,,,0.0000,0.1351
C1,N20,100,,,0.0000,0.1346
C1,N21,100,,,0.0000,0.1617
C1,N22,100,,,0.0000,0.1523
C1,N23,100,,,0.0000,0.1337
C1,N24,100,,,0.0000,0.1577
C1,N25,100,,,0.0000,0.1372
C1,N26,100,,,0.0000,0.1354
C1,N27,100,,,0.0000,0.1665
C1,N28,100,,,0.0000,0.1534
C1,N29,100,,,0.0000,0.1344
C1,N3,100,,,0.0000,0.1605
C1,N30,100,,,0.0000,0.1488
C1,N4,100,,,0.0000,0.1491
C1,N5,100,,,0.0000,0.1336
C1,N6,100,,,0.0000,0.1554
C1,N7,100,,,0.0000,0.1424
C1,N8,100,,,0.0000,0.1418
C1,N9,100,,,0.0000,0.1708
C1,S1,100,0.0000,2.0,,0.1427
C1,S2,100,0.0000,6.0,,0.1603
C1,S3,100,0.0000,5.0,,0.1637
C1,S4,100,1.0000,,,0.1634
C2,N1,100,,,0.0000,0.0603
C2,N10,100,,,0.0000,0.0716
C2,N11,100,,,0.0000,0.0579
C2,N12,100,,,0.0000,0.0747
C2,N13,100,,,0.0000,0.0616
C2,N14,100,,,0.0000,0.0563
C2,N15,100,,,0.0000,0.0814
C2,N16,100,,,0.0000,0.071
C2,N17,100,,,0.0000,0.0566
C2,N18,100,,,0.0000,0.0749
C2,N19,100,,,0.0000,0.0585
C2,N2,100,,,0.0000,0.0579
C2,N20,100,,,0.0000,0.0566
C2,N21,100,,,0.0000,0.0811
C2,N22,100,,,0.0000,0.0711
C2,N23,100,,,0.0000,0.0569
C2,N24,100,,,0.0000,0.0771
C2,N25,100,,,0.0000,0.0606
C2,N26,100,,,0.0000,0.0579
C2,N27,100,,,0.0000,0.0828
C2,N28,100,,,0.0000,0.0719
C2,N29,100,,,0.0000,0.0579
C2,N3,100,,,0.0000,0.0825
C2,N30,100,,,0.0000,0.0761
C2,N4,100,,,0.0000,0.0703
C2,N5,100,,,0.0000,0.0594
C2,N6,100,,,0.0000,0.0783
C2,N7,100,,,0.0000,0.0607
C2,N8,100,,,0.0000,0.0597
C2,N9,100,,,0.0000,0.0863
C2,S1,100,0.0000,2.0,,0.0405
C2,S2,100,0.0000,3.0,,0.0699
C2,S3,100,0.0000,3.0,,0.0712
C2,S4,100,1.0000,4.0,,0.0816
C3,N1,100,,,0.0000,0.0609
C3,N10,100,,,0.0000,0.069
C3,N11,100,,,0.0000,0.0568
C3,N12,100,,,0.0000,0.0755
C3,N13,100,,,0.0000,0.061
C3,N14,100,,,0.0000,0.0577
C3,N15,100,,,0.0000,0.0824
C3,N16,100,,,0.0000,0.069
C3,N17,100,,,0.0000,0.0562
C3,N18,100,,,0.0000,0.0747
C3,N19,100,,,0.0000,0.06
C3,N2,100,,,0.0000,0.0591
C3,N20,100,,,0.0000,0.0562
C3,N21,100,,,0.0000,0.082
C3,N22,100,,,0.0000,0.0724
C3,N23,100,,,0.0000,0.0561
C3,N24,100,,,0.0000,0.0749
C3,N25,100,,,0.0000,0.0601
C3,N26,100,,,0.0000,0.0581
C3,N27,100,,,0.0000,0.0842
C3,N28,100,,,0.0000,0.0734
C3,N29,100,,,0.0000,0.0589
C3,N3,100,,,0.0000,0.082
C3,N30,100,,,0.0000,0.0779
C3,N4,100,,,0.0000,0.0706
C3,N5,100,,,0.0000,0.0575
C3,N6,100,,,0.0000,0.0761
C3,N7,100,,,0.0000,0.0608
C3,N8,100,,,0.0000,0.0574
C3,N9,100,,,0.0000,0.0816
C3,S1,100,0.0000,2.0,,0.0382
C3,S2,100,0.0000,3.0,,0.0712
C3,S3,100,0.0000,3.0,,0.0733
C3,S4,100,0.0000,4.0,,0.0693
D,N1,100,,,0.0000,0.0569
D,N10,100,,,0.0000,0.067
D,N11,100,,,0.0000,0.054
D,N12,100,,,0.0000,0.0709
D,N13,100,,,0.0000,0.0552
D,N14,100,,,0.0000,0.0541
D,N15,100,,,0.0000,0.0802
D,N16,100,,,0.0000,0.067
D,N17,100,,,0.0000,0.0552
D,N18,100,,,0.0000,0.0734
D,N19,100,,,0.0000,0.057
D,N2,100,,,0.0000,0.0557
D,N20,100,,,0.0000,0.0533
D,N21,100,,,0.0000,0.0803
D,N22,100,,,0.0000,0.0667
D,N23,100,,,0.0000,0.0521
D,N24,100,,,0.0000,0.0706
D,N25,100,,,0.0000,0.055
D,N26,100,,,0.0000,0.0552
D,N27,100,,,0.0000,0.0797
D,N28,100,,,0.0000,0.0695
D,N29,100,,,0.0000,0.0538
D,N3,100,,,0.0000,0.0791
D,N30,100,,,0.0000,0.0742
D,N4,100,,,0.0000,0.0713
D,N5,100,,,0.0000,0.0552
D,N6,100,,,0.0000,0.0727
D,N7,100,,,0.0000,0.0579
D,N8,100,,,0.0000,0.0552
D,N9,100,,,0.0000,0.0806
D,S1,100,1.0000,,,0.0717
D,S2,100,1.0000,,,0.0786
D,S3,100,1.0000,,,0.0846
D,S4,100,1.0000,,,0.0785
