condition,scenario,trials,asr,median_detection_turn,fpr,mean_turn_ms
A,N1,100,,,0.0000,0.0339
A,N10,100,,,0.0000,0.0414
A,N11,100,,,0.0000,0.0325
A,N12,100,,,0.0000,0.043
A,N13,100,,,0.0000,0.0345
A,N14,100,,,0.0000,0.0324
A,N15,100,,,0.0000,0.0451
A,N16,100,,,0.0000,0.0417
A,N17,100,,,0.0000,0.0324
A,N18,100,,,0.0000,0.0429
A,N19,100,,,0.0000,0.0347
A,N2,100,,,0.0000,0.0323
A,N20,100,,,0.0000,0.0328
A,N21,100,,,0.0000,0.0464
A,N22,100,,,0.0000,0.0423
A,N23,100,,,0.0000,0.0325
A,N24,100,,,0.0000,0.0431
A,N25,100,,,0.0000,0.034
A,N26,100,,,0.0000,0.0325
A,N27,100,,,0.0000,0.0463
A,N28,100,,,0.0000,0.0428
A,N29,100,,,0.0000,0.0325
A,N3,100,,,0.0000,0.0457
A,N30,100,,,0.0000,0.0429
A,N4,100,,,0.0000,0.0414
A,N5,100,,,0.0000,0.0322
A,N6,100,,,0.0000,0.0431
A,N7,100,,,0.0000,0.0337
A,N8,100,,,0.0000,0.0337
A,N9,100,,,0.0000,0.0453
A,NE1,100,,,0.0000,0.0328
A,NE10,100,,,0.0000,0.0344
A,NE2,100,,,0.0000,0.0341
A,NE3,100,,,0.0000,0.033
A,NE4,100,,,0.0000,0.0313
A,NE5,100,,,0.0000,0.0321
A,NE6,100,,,0.0000,0.0335
A,NE7,100,,,0.0000,0.0329
A,NE8,100,,,0.0000,0.032
A,NE9,100,,,0.0000,0.0324
A,S1,100,1.0000,,,0.0404
A,S2,100,1.0000,,,0.0456
A,S3,100,1.0000,,,0.0509
A,S4,100,1.0000,,,0.0456
A,S5,100,1.0000,,,0.0519
B,N1,100,,,0.0000,0.0343
B,N10,100,,,0.0000,0.042
B,N11,100,,9.0,1.0000,0.0286
B,N12,100,,9.0,1.0000,0.0396
B,N13,100,,,0.0000,0.0352
B,N14,100,,,0.0000,0.0326
B,N15,100,,,0.0000,0.0454
B,N16,100,,,0.0000,0.0424
B,N17,100,,9.0,1.0000,0.0283
B,N18,100,,9.0,1.0000,0.0395
B,N19,100,,,0.0000,0.0345
B,N2,100,,,0.0000,0.0324
B,N20,100,,,0.0000,0.0325
B,N21,100,,,0.0000,0.0448
B,N22,100,,,0.0000,0.042
B,N23,100,,9.0,1.0000,0.0287
B,N24,100,,9.0,1.0000,0.0394
B,N25,100,,,0.0000,0.0343
B,N26,100,,,0.0000,0.0331
B,N27,100,,,0.0000,0.0447
B,N28,100,,,0.0000,0.0429
B,N29,100,,9.0,1.0000,0.0287
B,N3,100,,,0.0000,0.0457
B,N30,100,,9.0,1.0000,0.0395
B,N4,100,,,0.0000,0.0425
B,N5,100,,9.0,1.0000,0.0287
B,N6,100,,9.0,1.0000,0.0392
B,N7,100,,,0.0000,0.0344
B,N8,100,,,0.0000,0.0338
B,N9,100,,,0.0000,0.0456
B,NE1,100,,,0.0000,0.0335
B,NE10,100,,,0.0000,0.0352
B,NE2,100,,,0.0000,0.0345
B,NE3,100,,,0.0000,0.034
B,NE4,100,,,0.0000,0.0314
B,NE5,100,,,0.0000,0.0324
B,NE6,100,,,0.0000,0.0344
B,NE7,100,,,0.0000,0.0332
B,NE8,100,,,0.0000,0.032
B,NE9,100,,,0.0000,0.0328
B,S1,100,0.0000,2.0,,0.0199
B,S2,100,1.0000,,,0.0453
B,S3,100,1.0000,,,0.0501
B,S4,100,1.0000,,,0.0448
B,S5,100,1.0000,,,0.0534
C1,N1,100,,,0.0000,0.0905
C1,N10,100,,,0.0000,0.0988
C1,N11,100,,,0.0000,0.0882
C1,N12,100,,,0.0000,0.0998
C1,N13,100,,,0.0000,0.0901
C1,N14,100,,,0.0000,0.0879
C1,N15,100,,,0.0000,0.1017
C1,N16,100,,,0.0000,0.0968
C1,N17,100,,,0.0000,0.0888
C1,N18,100,,,0.0000,0.1003
C1,N19,100,,,0.0000,0.0884
C1,N2,100,,,0.0000,0.0881
C1,N20,100,,,0.0000,0.0877
C1,N21,100,,,0.0000,0.1014
C1,N22,100,,,0.0000,0.097
C1,N23,100,,,0.0000,0.0882
C1,N24,100,,,0.0000,0.1002
C1,N25,100,,,0.0000,0.092
C1,N26,100,,,0.0000,0.0877
C1,N27,100,,,0.0000,0.1038
C1,N28,100,,,0.0000,0.0989
C1,N29,100,,,0.0000,0.0876
C1,N3,100,,,0.0000,0.104
C1,N30,100,,,0.0000,0.1004
C1,N4,100,,,0.0000,0.0992
C1,N5,100,,,0.0000,0.0878
C1,N6,100,,,0.0000,0.1063
C1,N7,100,,,0.0000,0.0908
C1,N8,100,,,0.0000,0.0897
C1,N9,100,,,0.0000,0.1026
C1,NE1,100,,,0.0000,0.091
C1,NE10,100,,,0.0000,0.0907
C1,NE2,100,,,0.0000,0.094
C1,NE3,100,,,0.0000,0.0914
C1,NE4,100,,,0.0000,0.0876
C1,NE5,100,,,0.0000,0.0887
C1,NE6,100,,,0.0000,0.0923
C1,NE7,100,,,0.0000,0.0879
C1,NE8,100,,,0.0000,0.0886
C1,NE9,100,,,0.0000,0.0876
C1,S1,100,0.0000,2.0,,0.0985
C1,S2,100,0.0000,6.0,,0.1066
C1,S3,100,0.0000,5.0,,0.1072
C1,S4,100,1.0000,,,0.1036
C1,S5,100,1.0000,,,0.1118
C2,N1,100,,,0.0000,0.0374
C2,N10,100,,,0.0000,0.0457
C2,N11,100,,,0.0000,0.0358
C2,N12,100,,,0.0000,0.0471
C2,N13,100,,,0.0000,0.0376
C2,N14,100,,,0.0000,0.0352
C2,N15,100,,,0.0000,0.0483
C2,N16,100,,,0.0000,0.045
C2,N17,100,,,0.0000,0.0353
C2,N18,100,,,0.0000,0.0474
C2,N19,100,,,0.0000,0.0376
C2,N2,100,,,0.0000,0.0356
C2,N20,100,,,0.0000,0.0362
C2,N21,100,,,0.0000,0.0493
C2,N22,100,,,0.0000,0.0457
C2,N23,100,,,0.0000,0.0361
C2,N24,100,,,0.0000,0.0467
C2,N25,100,,,0.0000,0.0375
C2,N26,100,,,0.0000,0.036
C2,N27,100,,,0.0000,0.049
C2,N28,100,,,0.0000,0.0462
C2,N29,100,,,0.0000,0.0355
C2,N3,100,,,0.0000,0.0498
C2,N30,100,,,0.0000,0.0472
C2,N4,100,,,0.0000,0.0452
C2,N5,100,,,0.0000,0.0353
C2,N6,100,,,0.0000,0.0469
C2,N7,100,,,0.0000,0.037
C2,N8,100,,,0.0000,0.0363
C2,N9,100,,,0.0000,0.0495
C2,NE1,100,,,0.0000,0.037
C2,NE10,100,,,0.0000,0.0371
C2,NE2,100,,,0.0000,0.0383
C2,NE3,100,,,0.0000,0.0369
C2,NE4,100,,,0.0000,0.0345
C2,NE5,100,,,0.0000,0.0355
C2,NE6,100,,,0.0000,0.0374
C2,NE7,100,,,0.0000,0.0361
C2,NE8,100,,,0.0000,0.0358
C2,NE9,100,,,0.0000,0.0355
C2,S1,100,0.0000,2.0,,0.0279
C2,S2,100,0.0000,3.0,,0.0455
C2,S3,100,0.0000,3.0,,0.0497
C2,S4,100,1.0000,4.0,,0.0502
C2,S5,100,1.0000,,,0.0567
C3,N1,100,,,0.0000,0.0379
C3,N10,100,,,0.0000,0.0447
C3,N11,100,,,0.0000,0.0357
C3,N12,100,,,0.0000,0.0475
C3,N13,100,,,0.0000,0.0382
C3,N14,100,,,0.0000,0.0359
C3,N15,100,,,0.0000,0.0496
C3,N16,100,,,0.0000,0.0458
C3,N17,100,,,0.0000,0.0363
C3,N18,100,,,0.0000,0.0481
C3,N19,100,,,0.0000,0.0384
C3,N2,100,,,0.0000,0.0361
C3,N20,100,,,0.0000,0.0362
C3,N21,100,,,0.0000,0.0493
C3,N22,100,,,0.0000,0.0448
C3,N23,100,,,0.0000,0.0364
C3,N24,100,,,0.0000,0.0464
C3,N25,100,,,0.0000,0.0378
C3,N26,100,,,0.0000,0.0367
C3,N27,100,,,0.0000,0.0501
C3,N28,100,,,0.0000,0.0459
C3,N29,100,,,0.0000,0.0363
C3,N3,100,,,0.0000,0.0492
C3,N30,100,,,0.0000,0.0464
C3,N4,100,,,0.0000,0.046
C3,N5,100,,,0.0000,0.0362
C3,N6,100,,,0.0000,0.0485
C3,N7,100,,,0.0000,0.0378
C3,N8,100,,,0.0000,0.0363
C3,N9,100,,,0.0000,0.0494
C3,NE1,100,,,0.0000,0.0367
C3,NE10,100,,,0.0000,0.0378
C3,NE2,100,,,0.0000,0.0385
C3,NE3,100,,,0.0000,0.0369
C3,NE4,100,,,0.0000,0.035
C3,NE5,100,,,0.0000,0.0368
C3,NE6,100,,,0.0000,0.0378
C3,NE7,100,,,0.0000,0.0363
C3,NE8,100,,,0.0000,0.0352
C3,NE9,100,,,0.0000,0.0364
C3,S1,100,0.0000,2.0,,0.0244
C3,S2,100,0.0000,3.0,,0.0443
C3,S3,100,0.0000,3.0,,0.0488
C3,S4,100,0.0000,4.0,,0.0415
C3,S5,100,1.0000,,,0.0564
C4,N1,100,,,0.0000,0.0353
C4,N10,100,,,0.0000,0.0422
C4,N11,100,,,0.0000,0.0327
C4,N12,100,,,0.0000,0.0438
C4,N13,100,,,0.0000,0.036
C4,N14,100,,,0.0000,0.0344
C4,N15,100,,,0.0000,0.0473
C4,N16,100,,,0.0000,0.0432
C4,N17,100,,,0.0000,0.0333
C4,N18,100,,,0.0000,0.0445
C4,N19,100,,,0.0000,0.0356
C4,N2,100,,,0.0000,0.0334
C4,N20,100,,,0.0000,0.0336
C4,N21,100,,,0.0000,0.0469
C4,N22,100,,,0.0000,0.0432
C4,N23,100,,,0.0000,0.0337
C4,N24,100,,,0.0000,0.0454
C4,N25,100,,,0.0000,0.0347
C4,N26,100,,,0.0000,0.0341
C4,N27,100,,,0.0000,0.0462
C4,N28,100,,,0.0000,0.043
C4,N29,100,,,0.0000,0.0333
C4,N3,100,,,0.0000,0.0469
C4,N30,100,,,0.0000,0.0436
C4,N4,100,,,0.0000,0.0423
C4,N5,100,,,0.0000,0.0334
C4,N6,100,,,0.0000,0.0442
C4,N7,100,,,0.0000,0.0353
C4,N8,100,,,0.0000,0.0339
C4,N9,100,,,0.0000,0.0459
C4,NE1,100,,,0.0000,0.0347
C4,NE10,100,,,0.0000,0.0356
C4,NE2,100,,,0.0000,0.0358
C4,NE3,100,,,0.0000,0.0348
C4,NE4,100,,,0.0000,0.0325
C4,NE5,100,,,0.0000,0.0344
C4,NE6,100,,,0.0000,0.0355
C4,NE7,100,,,0.0000,0.0337
C4,NE8,100,,,0.0000,0.0328
C4,NE9,100,,,0.0000,0.0338
